id,verification_status,owner_id,created_by,customer_id,property_type,category,property_area,area_unit,seeking_address,district_id,municipal_id,province_id,city,layout,rent_amount,stay_period,service_amount,service_charge,family_member_adult,family_member_children,compound,furnished,commode_compulsory,parking_space,car_parking,bike_parking,road_size,road_type,renting_purpose,delete,remarks,tenant_agreement,status,created_at,updated_at,ward_num,map_url,amenities,share_map_url,verification_note
228,pending,3,3,304,ROOM,RESIDENTIAL,,,"lakeside, malepatan area",38,224,4,pokhara,1R,0,,,,0,0,NO,NO,NO,NO,,,,,for personal,1,,,ACTIVE,2026-01-21T10:35:50.000Z,2026-01-21T10:35:50.000Z,6,,,,
229,pending,3,3,807,FLAT,TOURISM,,,"Nayagaun, kajipokhari, milan tol, laxmi tol",38,224,4,pokhara,2BHK,14000,,,,5,5,YES,YES,NO,YES,,,,,for family  residential purpose,1,,,ACTIVE,2026-01-21T10:41:53.000Z,2026-01-21T10:42:31.000Z,14,,,,
230,pending,3,3,1882,FLAT,TOURISM,,,"sitaldevi, matepani laligurastol",38,224,4,pokhara,2BHK,18,,,,3,3,NO,NO,NO,NO,,,,,family residential,1,,,ACTIVE,2026-01-21T11:51:33.000Z,2026-01-21T11:52:27.000Z,12,,,,
231,pending,3,3,1883,FLAT,RESIDENTIAL,,,"Rambajar, aaudhyogik chetra, ranipauwa, nayagaun",38,224,4,pokhara,1R,15000,,,,3,3,NO,NO,NO,NO,,,,,residential purpose,1,,,ACTIVE,2026-01-22T06:10:20.000Z,2026-01-22T06:10:20.000Z,11,,,,
232,pending,3,3,1884,FLAT,RESIDENTIAL,,,"Hospital chowk, ctevt area",38,224,4,pokhara,3R,15000,,,,3,0,NO,NO,NO,NO,,,,,Residential,1,,,ACTIVE,2026-01-22T06:22:47.000Z,2026-01-22T06:22:47.000Z,11,,,,
233,pending,3,3,1885,FLAT,RESIDENTIAL,,,"Nayabajar, ranipauwa, fulbari",38,224,4,pokhara,1R,15000,,,,3,1,NO,NO,NO,YES,,,,,Residential,1,,,ACTIVE,2026-01-22T06:28:19.000Z,2026-01-22T06:28:19.000Z,11,,,,
234,pending,3,3,1886,HOUSE,COMMERCIAL,,,"Fulbari, rambajar,siddhartha chowk, mustang chowk,malepatan, alumaila chowk",38,224,4,pokhara,1R,100000,,,,10,0,NO,NO,NO,YES,3,4,,,commercial,1,,,ACTIVE,2026-01-22T06:36:29.000Z,2026-01-22T06:36:29.000Z,11,,,,
235,pending,3,3,649,FLAT,RESIDENTIAL,,,Fulbari area,38,224,4,pokhara,2BHK,12000,,,,4,0,NO,NO,NO,NO,,,,,Residential,1,,,ACTIVE,2026-02-13T05:52:20.000Z,2026-02-13T05:55:36.000Z,11,,,,
236,pending,3,3,1963,FLAT,RESIDENTIAL,,,fulbari area,38,224,4,Pokhara,3BHK,14000,,,,3,0,NO,NO,NO,NO,,,,,Residential,1,,,ACTIVE,2026-02-13T06:00:28.000Z,2026-02-13T06:00:28.000Z,11,,,,
237,pending,3,3,1964,FLAT,RESIDENTIAL,,,fulbari area,38,224,4,pokhara,2BHK,18000,,,,2,0,NO,NO,NO,NO,,,,,Residential,1,,,ACTIVE,2026-02-13T06:06:26.000Z,2026-02-13T06:06:26.000Z,11,,,,
238,pending,3,3,1965,FLAT,RESIDENTIAL,,,"sitaladevi,matepani,hospital chowk area",38,224,4,,1R,15000,,,,3,0,NO,NO,NO,NO,,,,,residential,1,,,ACTIVE,2026-02-13T06:12:33.000Z,2026-02-13T06:12:33.000Z,12,,,,
239,pending,3,3,1295,GODOWN,COMMERCIAL,1500-2000 sq ft,SQUARE_FEET,fulbari  chauthe amarsingh rambajar,38,224,4,pokhara,1R,60000,,,,,,YES,NO,YES,YES,,,,,for commercial,1,,,ACTIVE,2026-02-24T05:06:16.000Z,2026-02-24T05:06:16.000Z,11,,,,
