id,name,district_id,status,created_at,updated_at
127,Jaleshwar,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
128,Janakpur,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
129,Jaya Prithvi,72,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
130,Jiri,25,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
131,Jitpur Simara,20,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
132,Kabilasi,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
133,Kageshwori Manohara,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
134,Kalaiya,20,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
135,Kalika,34,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
136,Kalyanpur,16,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
137,Kamala,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
138,Kamalamai,23,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
139,Kamalbazar,70,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
140,Kanchanrup,15,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
141,Kankai,4,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
142,Kapilvastu,47,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
143,Karjanha,16,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
144,Katahariya,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
145,Katari,14,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
146,Kathmandu,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
147,Kawasoti,43,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
148,Khadak,15,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
149,Khairhani,34,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
150,Khandachakra,64,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
151,Khandbari,9,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
152,Kirtipur,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
153,Kohalpur,57,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
154,Kolhabi,20,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
155,Krishnanagar,47,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
156,Krishnapur,74,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
157,Kshireshwor Nath,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
158,Kushma,44,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
159,Lahan,16,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
160,Lalbandi,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
161,Laligurans,13,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
162,Lalitpur,30,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
163,Lamahi,53,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
164,Lamki Chuha,69,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
165,Lekbeshi,66,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
166,Letang,6,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
167,Loharpatti,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
168,Lumbini Sanskritik,49,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
169,Madhav Narayan,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
170,Madhuwan,58,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
171,Madhya Nepal,39,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
172,Madhyabindu,43,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
173,Madhyapur Thimi,26,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
174,Madi,34,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
175,Madi,9,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
176,Mahagadhimai,20,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
177,Mahakali,77,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
178,Mahakali,74,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
179,Mahalaxmi,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
180,Mahalaxmi,30,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
181,Maharajgunj,47,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
182,Mai,3,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
183,Malangwa,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
184,Manara Shisawa,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
185,Mandandeupur,29,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
186,Mangalsen,70,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
187,Manthali,24,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
